bot_id;sample_count;expected_mean_sec;actual_mean_sec;gap_mean_sec;gap_var_sec2;gap_std_sec;abs_err_mean_sec;stop_go_mean;queue_stop_go_mean;conflict_wait_mean_sec
0;20;18.6530645750508;19.8581263884295;1.20506181337872;53.3626205021389;7.30497231357785;3.10854517896723;0.2;0;2.34666666667039
1;20;20.1229166666667;23.0048219367891;2.88190527012247;72.201695148002;8.49715806302331;5.95309786816849;0.4;0;1.89555555555441
2;20;17.0015927124746;20.7532135623448;3.7516208498702;64.4133397989127;8.02579216021152;5.90758717393562;0.35;0;2.58444444444766
3;19;17.302117036271;25.4094122535069;8.10729521723582;158.191775078278;12.577431179628;8.5701586144085;0.526315789473684;0;5.64912280702252
4;22;19.1018267083103;22.2369968262989;3.13517011798862;31.0394051092468;5.57130192228413;4.66820468808316;0.318181818181818;0;2.04646464646881
5;21;20.1573301041969;23.8411725543024;3.68384245010553;74.1004753902513;8.60816329946472;5.37476539368587;0.571428571428571;0;4.38518518519213
6;21;17.960667903788;21.8057067098279;3.84503880603991;199.161602903541;14.1124626803241;5.4810280584607;0.571428571428571;0;2.30052910052847
7;17;20.9345450306746;25.3715746525604;4.43702962188585;173.555097743841;13.1740311880548;6.6658606651397;0.411764705882353;0;2.1620915032701
8;18;17.778595479209;18.8673683385315;1.08877285932258;21.2523381613146;4.61002583087281;2.67622343797719;0.111111111111111;0;0.637037037038453
9;13;16.9460789215036;18.9351802355323;1.98910131402868;53.1666128603098;7.29154392843586;3.41292843475333;0.461538461538462;0;2.201709401712
10;24;20.1729978350377;26.8219429934054;6.64894515836764;172.68792108957;13.1410776228424;8.79435253046871;0.666666666666667;0;5.25185185185175
11;16;16.7378990807768;20.3446852798752;3.60678619909849;199.410705005647;14.1212855294993;7.12219415620482;0.1875;0;4.4277777777871
12;22;20.1173110964871;26.0435127874251;5.92620169093802;146.143051731487;12.0889640470756;8.14220927213412;0.681818181818182;0;5.80404040405166
13;17;18.5276822855765;24.6134078117472;6.08572552617066;105.69294794044;10.2807075603015;8.24571925864596;0.705882352941177;0;4.20392156863847
14;14;20.0029761904762;23.5735964503497;3.57062025987353;108.750119186882;10.4283325218791;6.18103636802409;0.428571428571429;0;3.07301587302637
