Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-Legacy,6,1407.8,939.5,589.7,4.414,133.6,0.2266,11.17,1.429,858.9,2.32
M4G,6,1419.9,946.1,599.1,5.338,112.3,0.1875,9.37,1.190,830.8,1.45
M4G-Legacy,10,1428.1,959.2,602.5,2.939,205.1,0.3405,15.69,2.039,736.2,0.91
M4G,10,1428.7,952.2,603.5,5.118,118.0,0.1956,10.35,1.317,787.8,0.86
