Policy,Bots,Time per decision (s),Total time (s),Decisions
M4G-Legacy,6,0.1032,101.2,982
M4G,6,0.2184,210.3,962
M4G-Legacy,10,0.1313,126.9,966
M4G,10,0.2850,262.2,918
