Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
M4G-Legacy,6,0,0.1197,116.9,977
M4G-Legacy,6,1,0.1239,120.3,971
M4G-Legacy,6,2,0.1052,106.0,1008
M4G-Legacy,6,3,0.0942,91.3,969
M4G-Legacy,6,4,0.0986,97.4,987
M4G-Legacy,6,5,0.0962,93.9,977
M4G-Legacy,6,6,0.0996,99.0,994
M4G-Legacy,6,7,0.1020,99.5,976
M4G-Legacy,6,8,0.0986,97.1,985
M4G-Legacy,6,9,0.0937,91.1,972
M4G,6,0,0.1675,161.6,965
M4G,6,1,0.1561,148.1,949
M4G,6,2,0.3073,302.7,985
M4G,6,3,0.2591,245.1,946
M4G,6,4,0.2949,282.8,959
M4G,6,5,0.2166,211.7,977
M4G,6,6,0.1709,164.7,964
M4G,6,7,0.1515,145.1,958
M4G,6,8,0.1821,176.4,969
M4G,6,9,0.2780,264.1,950
M4G-Legacy,10,0,0.1333,127.1,953
M4G-Legacy,10,1,0.1353,127.3,941
M4G-Legacy,10,2,0.1320,130.1,985
M4G-Legacy,10,3,0.1269,122.8,968
M4G-Legacy,10,4,0.1300,124.8,960
M4G-Legacy,10,5,0.1290,125.0,969
M4G-Legacy,10,6,0.1348,130.9,971
M4G-Legacy,10,7,0.1297,126.2,973
M4G-Legacy,10,8,0.1289,125.8,976
M4G-Legacy,10,9,0.1334,128.6,964
M4G,10,0,0.1977,179.9,910
M4G,10,1,0.2662,237.2,891
M4G,10,2,0.4946,473.8,958
M4G,10,3,0.2809,256.7,914
M4G,10,4,0.2707,248.5,918
M4G,10,5,0.2854,261.1,915
M4G,10,6,0.2210,208.2,942
M4G,10,7,0.1936,178.8,924
M4G,10,8,0.2947,270.2,917
M4G,10,9,0.3448,307.6,892
