#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;0;0;2;2;0/60,1/60;0/41.11,1/29.38;0/60,1/60;0/60,1/60;0/0,1/0;0/0,1/0;0/0,1/0;0/6,1/9;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/4
119.96;0;0;2;2;0/119.96,1/119.96;0/41.38,1/29.42;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/0;0/0,1/0;0/0,1/4;0/10,1/5;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/10
179.96;0;2;2;2;0/179.96,1/140.13;0/41.51,1/29.64;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/0;0/0,1/0;0/0,1/2;0/10,1/7;0/3,1/2;0/5,1/5;0/0,1/0;0/1,1/1;0/0,1/4;0/14,1/16
239.96;1;3;2;2;0/239.96,1/180.22;0/41.6,1/29.82;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/8;0/3,1/2;0/5,1/5;0/0,1/1;0/2,1/1;0/0,1/6;0/20,1/22
299.96;1;4;2;2;0/299.96,1/240.22;0/41.96,1/30.13;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/0;0/3,1/0;0/10,1/8;0/3,1/2;0/5,1/5;0/0,1/1;0/2,1/2;0/0,1/6;0/26,1/27
360;1;4;2;2;0/338.44,1/300.27;0/42.36,1/30.58;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/2;0/9,1/9;0/3,1/2;0/5,1/5;0/0,1/1;0/2,1/2;0/3,1/6;0/32,1/33
420;2;5;2;2;0/390,1/340.27;0/42.76,1/30.98;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/0,1/1;0/7,1/7;0/3,1/2;0/5,1/5;0/0,1/2;0/3,1/2;0/3,1/8;0/38,1/39
480;4;6;2;2;0/433.6,1/390.27;0/43.2,1/31.42;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/1,1/0;0/8,1/10;0/3,1/2;0/5,1/5;0/1,1/3;0/3,1/3;0/5,1/9;0/44,1/45
540;4;7;2;2;0/480,1/450.27;0/43.56,1/31.73;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/2,1/0;0/10,1/7;0/3,1/2;0/5,1/5;0/1,1/3;0/4,1/3;0/6,1/9;0/50,1/51
