Tag;Instance;Setting;Config;Seed;Timestamp
gate;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/large_test.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psNearest.xconf;0;20260628-231920
gate;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/large_test.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psTurnover.xconf;0;20260628-232751
gate;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/large_test.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psNearest.xconf;1;20260628-233359
gate;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/large_test.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psTurnover.xconf;1;20260628-234225
