decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
0,0.0444444444444444,1,92,2,99,0,10,10,24,0.5,0.01,12,12,12,12,2,12,-194.12,0.2127381,0,15,0,12,0
1,37.911111111111,1,83,1,97,1,8,10,10.9090909090909,0.5,0.01,1,1,1,1,0,3,-65.9390909090909,0.0845438,0,15,3,0,12
2,47.9999999999998,1,83,1,97,1,8,10,10.8333333333333,0.5,0.01,1,1,0,0,0,3,-55.03,0.066072,0,15,3,0,9
3,48.711111111111,1,83,1,97,1,8,10,11.6666666666667,0.5,0.01,2,2,1,1,0,2,-61.6866666666667,0.0406149,0,15,2,0,7
4,58.0888888888887,1,83,1,97,1,8,10,12.3076923076923,0.5,0.01,1,1,1,1,0,2,-52.3276923076923,0.0630642,0,15,2,0,6
5,58.7999999999998,1,82,1,97,1,8,10,12.1428571428571,0.5,0.01,1,1,1,1,0,2,-52.1628571428571,0.0382286,0,15,2,0,5
6,68.1333333333338,1,81,1,97,1,8,10,12,0.5,0.01,1,1,1,1,0,2,-52.02,0.1194864,0,15,2,0,4
7,68.844444444445,1,80,1,97,1,8,10,11.875,0.5,0.01,1,1,1,1,0,1,-36.885,0.042513,0,15,1,0,3
8,78.1777777777798,1,80,1,96,1,8,10,11.7647058823529,0.5,0.01,1,1,1,1,0,2,-51.7847058823529,0.046009,0,15,2,0,2
9,78.888888888891,1,79,1,96,1,8,10,11.6666666666667,0.5,0.01,1,1,0,0,0,1,-25.01,0.0405192,0,15,1,0,2
10,88.2222222222258,1,80,1,96,1,8,10,12.2222222222222,0.5,0.01,1,1,1,1,1,1,-0.232222222222223,0.051059,0,15,0,1,0
11,88.933333333337,1,79,1,95,1,7,10,12.1052631578947,0.5,0.01,1,1,0,0,0,1,-25.01,0.0313935,0,15,1,0,1
12,98.977777777783,1,80,1,95,1,7,10,12.6315789473684,0.5,0.01,0,0,0,0,0,0,0,0.0410141,0,15,0,0,0
13,103.688888888895,1,81,1,95,1,7,10,12.6315789473684,0.5,0.01,0,0,0,0,0,0,0,0.0400569,0,15,0,0,0
14,115.200000000008,1,82,1,95,1,7,10,12.6315789473684,0.5,0.01,0,0,0,0,0,0,0,0.0392721,0,15,0,0,0
15,118.133333333342,1,82,1,95,1,7,10,12.6315789473684,0.5,0.01,0,0,0,0,0,0,0,0.0414197,0,15,0,0,0
16,118.266666666675,1,82,2,95,3,7,10,12.6315789473684,0.5,0.01,1,1,1,1,0,2,-22.6515789473684,0.1015449,0,15,2,0,11
17,119.022222222231,1,81,1,95,1,7,10,12.5,0.5,0.01,2,2,2,2,1,2,-4.02,0.0518507,0,15,0,2,0
18,139.066666666678,1,81,1,94,2,6,10,12.2727272727273,0.5,0.01,1,1,1,1,0,2,-22.2927272727273,0.1104182,0,15,2,0,16
19,148.311111111124,1,80,1,93,2,6,10,12.1739130434783,0.5,0.01,1,1,0,0,0,3,-10.03,0.040572,0,15,3,0,9
20,149.111111111124,1,80,1,93,2,6,10,12.6086956521739,0.5,0.01,1,1,1,1,0,1,-22.6186956521739,0.031336,0,15,1,0,12
21,159.15555555557,1,80,1,93,2,6,10,12.5,0.5,0.01,2,2,0,0,0,2,-20.02,0.0407332,0,15,2,0,11
