decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec
37,601.022222222199,1,96,1,90,5,2,17.9004666905101,35.0053570836641,0.323076923076923,0.0179004666905101,59,3,44,1,2,5,-840.962202174624,0.1490859
38,618.48888888888,1,96,1,89,2,0,18.0421270010854,35.6920338499733,0.316176470588235,0.0180421270010854,13,1,10,1,0,2,-223.789029167559,0.0109977
39,628.533333333332,1,96,1,90,2,1,18.1977717391306,35.6211702127662,0.323529411764706,0.0181977717391306,25,1,21,1,1,2,-385.645607670053,0.2180068
40,638.577777777785,1,96,1,90,2,1,18.2687331989247,35.3956705729167,0.328467153284672,0.0182687331989247,24,1,20,1,1,2,-381.616541243574,0.2660667
41,641.066666666675,1,95,1,90,7,1,18.0847202111242,34.6931367315445,0.335766423357664,0.0180847202111242,63,3,50,1,1,3,-999.126792223391,0.0955155
42,658.622222222245,1,96,1,89,2,0,17.7069092179764,34.3514038828743,0.330935251798561,0.0177069092179764,10,1,8,1,0,1,-184.391217610988,0.0059742
43,671.111111111144,1,96,1,90,7,1,17.8061224489796,34.2156862745098,0.338129496402878,0.0178061224489796,60,2,48,1,1,3,-931.844952247086,0.1840349
44,678.666666666705,1,95,1,90,2,1,17.5199652777779,33.6922409188036,0.35,0.0175199652777779,23,1,18,1,1,2,-357.619812232908,0.2010577
45,701.155555555612,1,96,1,89,5,0,17.8364141761399,33.9901477696252,0.354609929078014,0.0178364141761399,37,2,29,1,0,3,-628.581249092945,0.0231553
46,708.711111111174,1,96,1,90,3,1,17.6862909025531,33.734962277092,0.366197183098592,0.0176862909025531,29,2,23,1,1,3,-491.810949942074,0.4030653
47,711.200000000065,1,95,1,90,5,1,17.382491218401,33.1847559624018,0.373239436619718,0.017382491218401,45,2,37,1,1,5,-756.904340031342,0.1940513
48,728.755555555634,1,96,1,88,3,0,17.5257427738915,33.4866870858284,0.384615384615385,0.0175257427738915,23,1,20,1,0,2,-444.052633520788,0.0120004
49,738.800000000087,1,96,1,89,3,1,17.6466081532923,34.0327442956351,0.391608391608392,0.0176466081532923,31,2,26,1,1,4,-555.990488677041,0.3550617
50,758.844444444547,1,96,1,88,4,1,18.0427758838385,34.8193920565304,0.398601398601399,0.0180427758838385,36,2,30,1,1,3,-709.975538811465,0.2475529
51,761.244444444549,1,93,1,87,4,0,17.8311631599979,34.4325909296512,0.395833333333333,0.0178311631599979,33,1,26,1,0,2,-618.899997517283,0.0120297
52,768.888888888999,1,95,1,87,5,0,17.961963734568,34.9948603794169,0.402777777777778,0.017961963734568,34,1,29,1,0,3,-686.419403367245,0.0130016
53,798.933333333468,1,97,1,89,4,2,18.5266030431017,35.7971652019254,0.409722222222222,0.0185266030431017,44,2,37,1,2,3,-867.726098525699,0.1520645
54,841.288888889057,1,100,1,91,3,3,19.2688955073968,37.2531979809672,0.408163265306122,0.0192688955073968,52,2,42,1,3,2,-1032.49315641514,0.4036607
55,848.977777777952,1,99,1,89,4,2,19.0395292229023,36.83056472627,0.407894736842105,0.0190395292229023,44,1,37,1,2,2,-882.679261016119,0.120548
56,869.022222222412,1,100,1,89,4,2,19.2045868347341,36.860416666667,0.411764705882353,0.0192045868347341,43,1,38,1,2,2,-905.809085973811,0.1550629
57,871.333333333525,1,99,1,89,4,2,19.1128781185701,36.4054821306098,0.412903225806452,0.0191128781185701,51,1,42,1,2,2,-1024.45461884506,0.1425112
58,881.377777777978,1,100,1,89,5,1,19.0933720730028,36.0984065755209,0.419354838709677,0.0190933720730028,50,1,41,1,1,2,-1026.08962441762,0.165627
59,889.066666666873,1,99,1,88,3,0,19.1255603938981,36.4580995008682,0.425806451612903,0.0191255603938981,17,1,14,1,0,2,-387.735724871691,0.0110008
60,901.422222222438,1,99,1,88,5,1,19.2620691558768,36.4497616334284,0.432258064516129,0.0192620691558768,48,2,40,1,1,4,-1052.52787910284,0.297561
61,909.111111111333,1,98,1,88,3,1,19.1544145679014,36.277300317995,0.435897435897436,0.0191544145679014,28,1,24,1,1,2,-631.60593938177,0.0975164
62,911.466666666891,1,98,1,88,5,1,19.1062183090831,35.9310971185741,0.442307692307692,0.0191062183090831,47,1,39,1,1,3,-1010.75151586419,0.2600443
63,929.155555555794,1,98,1,88,2,1,19.5899332288326,36.5870811773785,0.436708860759494,0.0195899332288326,18,1,16,1,1,1,-422.301798617967,0.1230367
64,931.511111111351,1,97,1,87,6,0,19.5241292317709,36.7513020833335,0.443037974683544,0.0195241292317709,46,1,38,1,0,2,-1048.00359018061,0.0135168
65,949.200000000254,1,98,1,89,3,2,19.9688884103743,37.3331392020042,0.449367088607595,0.0199688884103743,35,2,29,1,2,4,-785.207666760518,0.269042
66,951.555555555811,1,97,1,88,4,0,19.7546014748847,36.9693256172841,0.45625,0.0197546014748847,26,1,20,1,0,2,-602.567200812853,0.0100079
67,971.600000000272,1,98,1,89,3,1,20.2999244082453,37.7407045336391,0.4625,0.0202999244082453,28,1,23,1,1,2,-663.588203468441,0.1545223
68,979.244444444722,1,98,1,91,5,2,20.3223370927319,37.5398726851852,0.46875,0.0203223370927319,47,2,41,1,2,2,-1160.77210244187,0.2038763
69,991.644444444732,1,98,1,91,3,2,20.2203086419754,37.3937214611873,0.478260869565217,0.0202203086419754,36,1,30,1,2,2,-865.759513036937,0.1595959
70,1011.68888888919,1,98,1,90,3,1,20.2802718772695,37.2718510176845,0.475308641975309,0.0202802718772695,30,1,24,1,1,2,-710.594505995882,0.2300533
71,1019.2888888892,1,98,1,90,4,1,20.3052437595747,37.0909119341564,0.481481481481481,0.0203052437595747,38,2,31,1,1,2,-943.457185266823,0.26554
72,1029.33333333365,1,98,1,91,4,3,20.1223827604583,36.8027789961014,0.48780487804878,0.0201223827604583,50,2,43,1,3,3,-1234.27429719616,0.2735471
73,1049.37777777811,1,99,1,90,4,2,20.1820540561248,36.9567483365402,0.48780487804878,0.0201820540561248,45,2,38,1,2,5,-1106.77689494607,0.7136481
74,1051.73333333367,1,98,1,89,2,1,19.9761473711475,36.6229368471038,0.48780487804878,0.0199761473711475,24,1,19,1,1,1,-585.30893977258,0.350072
75,1059.42222222256,1,97,1,89,5,1,20.0786352237655,36.5990312939523,0.48780487804878,0.0200786352237655,43,1,37,1,1,1,-1076.77960172876,0.4090691
76,1081.77777777814,1,98,1,89,3,1,20.293735259685,37.2479950968902,0.49390243902439,0.020293735259685,33,1,24,1,1,2,-774.450468184473,0.247561
77,1101.8222222226,1,100,1,89,4,1,20.6592660240149,37.7031604938272,0.496969696969697,0.0206592660240149,41,1,31,1,1,1,-995.184100169222,0.1472095
78,1121.86666666706,1,101,1,89,3,1,20.9103166204754,38.4227067901235,0.5,0.0209103166204754,36,1,28,1,1,2,-908.011926568826,0.2226503
79,1139.46666666707,1,101,1,90,4,3,20.9566222211796,38.2911122065997,0.5,0.0209566222211796,49,2,42,1,3,3,-1267.71564894864,1.2572384
80,1141.91111111152,1,101,1,89,3,2,20.6902502572017,37.8480187631738,0.497041420118343,0.0206902502572017,43,2,34,1,2,2,-1059.70735479182,0.345609
81,1149.51111111152,1,100,1,89,5,1,20.532237070541,37.6012052376173,0.5,0.020532237070541,41,1,35,1,1,2,-1082.03973723261,0.3166355
82,1159.55555555598,1,100,1,89,4,1,20.7390955114264,37.7747811100982,0.505882352941176,0.0207390955114264,35,2,27,1,1,4,-900.406302771513,0.2301597
83,1161.95555555598,1,99,1,88,3,0,20.5258358223816,37.4294653231665,0.5,0.0205258358223816,27,1,21,1,0,2,-699.126871739819,0.0139734
84,1172.00000000043,1,99,1,88,3,2,20.689782021605,37.5303022717485,0.505813953488372,0.020689782021605,40,2,32,1,2,3,-1029.13266002342,0.4586709
85,1182.04444444488,1,98,1,87,3,1,20.8423088324349,37.8515493738474,0.502890173410405,0.0208423088324349,30,1,26,1,1,3,-806.596067631921,0.1880826
86,1189.60000000045,1,98,1,86,5,1,21.0123599706888,37.965514037949,0.505747126436782,0.0210123599706888,42,2,33,1,1,2,-1087.54027380093,0.1720158
87,1202.08888888934,1,98,1,87,4,1,21.2077114866845,38.3645117905192,0.517241379310345,0.0212077114866845,36,2,30,1,1,3,-1009.27443676335,0.4081217
88,1222.1333333338,1,99,1,87,5,1,21.4601379580746,38.8666943018462,0.514124293785311,0.0214601379580746,44,2,35,1,1,2,-1178.6219777576,0.2340336
89,1249.64444444494,1,99,1,89,4,0,21.6934596193416,39.3342949141908,0.51123595505618,0.0216934596193416,27,1,23,1,0,2,-791.823859866099,0.0140135
90,1252.17777777827,1,99,1,89,6,0,21.5952058232932,38.9652626811595,0.51123595505618,0.0215952058232932,42,1,34,1,0,3,-1170.64995501085,0.0150026
91,1269.6888888894,1,99,1,91,3,1,21.7570008131885,39.0690229656181,0.51685393258427,0.0217570008131885,28,1,25,1,1,2,-828.121182320012,0.247545
92,1282.22222222274,1,100,1,90,5,2,21.8252808779763,39.0068849734044,0.519553072625698,0.0218252808779763,53,2,40,1,2,4,-1398.4334573656,0.3304248
