#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;0;0;2;2;0/60,1/60;0/36.62,1/29.02;0/60,1/60;0/60,1/60;0/0,1/0;0/0,1/0;0/0,1/0;0/20,1/14;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/4
119.96;0;3;2;2;0/119.96,1/107.02;0/36.62,1/29.07;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/0;0/0,1/0;0/0,1/2;0/14,1/12;0/3,1/2;0/5,1/5;0/0,1/0;0/2,1/1;0/0,1/2;0/9,1/10
179.96;1;5;2;2;0/179.96,1/134.22;0/36.67,1/29.11;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/0;0/0,1/0;0/0,1/1;0/11,1/9;0/3,1/2;0/5,1/5;0/0,1/1;0/3,1/2;0/0,1/5;0/15,1/16
239.96;1;7;2;2;0/239.96,1/180.22;0/36.8,1/29.24;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/11;0/3,1/2;0/5,1/5;0/0,1/1;0/4,1/3;0/0,1/6;0/21,1/22
299.96;1;9;2;2;0/299.96,1/240.22;0/37.11,1/29.64;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/0;0/3,1/0;0/17,1/15;0/3,1/2;0/5,1/5;0/0,1/1;0/5,1/4;0/0,1/6;0/27,1/28
360;1;11;2;2;0/330,1/300.27;0/37.38,1/29.96;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/1,1/0;0/11,1/11;0/3,1/2;0/5,1/5;0/0,1/1;0/6,1/5;0/3,1/6;0/33,1/34
420;2;13;2;2;0/380,1/360.27;0/37.78,1/30.27;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/0,1/1;0/13,1/12;0/3,1/2;0/5,1/5;0/1,1/1;0/7,1/6;0/4,1/6;0/39,1/39
480;4;17;2;2;0/440,1/408.13;0/38.09,1/30.67;0/480,1/480;0/480,1/480;0/1,1/0;0/0,1/0;0/1,1/1;0/9,1/14;0/3,1/2;0/5,1/5;0/1,1/3;0/9,1/8;0/4,1/8;0/45,1/45
540;4;19;2;2;0/500,1/450.27;0/38.36,1/30.98;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/1;0/4,1/0;0/9,1/16;0/3,1/2;0/5,1/5;0/1,1/3;0/9,1/10;0/4,1/9;0/51,1/51
600;7;22;2;2;0/520.18,1/510.27;0/38.49,1/31.02;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/12;0/3,1/2;0/5,1/5;0/4,1/3;0/11,1/11;0/8,1/9;0/57,1/57
659.96;7;24;2;2;0/580.13,1/570.22;0/38.67,1/31.11;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/14;0/3,1/2;0/5,1/5;0/4,1/3;0/12,1/12;0/8,1/9;0/63,1/63
719.96;7;26;2;2;0/640.13,1/630.22;0/38.76,1/31.24;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/1,1/0;0/0,1/0;0/9,1/19;0/3,1/2;0/5,1/5;0/4,1/3;0/12,1/14;0/8,1/9;0/69,1/69
779.96;8;30;2;2;0/700.13,1/680.27;0/38.93,1/31.29;0/779.96,1/779.96;0/779.96,1/779.96;0/1,1/0;0/0,1/0;0/1,1/1;0/15,1/15;0/3,1/2;0/5,1/5;0/4,1/4;0/14,1/16;0/8,1/10;0/75,1/75
839.96;11;32;2;2;0/750.18,1/730.27;0/38.98,1/31.29;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/1;0/12,1/9;0/3,1/2;0/5,1/5;0/5,1/6;0/15,1/17;0/9,1/12;0/81,1/81
899.96;12;34;2;2;0/810.18,1/755.33;0/39.11,1/31.42;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/0,1/1;0/12,1/9;0/3,1/2;0/5,1/5;0/5,1/7;0/16,1/18;0/9,1/15;0/87,1/87
959.96;14;38;2;2;0/870.18,1/790.58;0/39.24,1/31.6;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/2,1/0;0/0,1/0;0/13,1/14;0/3,1/2;0/5,1/5;0/5,1/9;0/17,1/21;0/9,1/17;0/93,1/93
1019.96;14;41;2;2;0/930.18,1/850.58;0/39.33,1/31.73;0/1019.96,1/1019.96;0/1019.96,1/1019.96;0/2,1/0;0/0,1/0;0/2,1/0;0/11,1/14;0/3,1/2;0/5,1/5;0/5,1/9;0/18,1/23;0/9,1/17;0/99,1/99
1079.96;15;43;2;2;0/970.27,1/910.58;0/39.47,1/31.78;0/1079.96,1/1079.96;0/1079.96,1/1079.96;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/9;0/3,1/2;0/5,1/5;0/6,1/9;0/19,1/24;0/11,1/17;0/105,1/105
1139.96;16;46;2;2;0/1020.31,1/970.58;0/39.51,1/31.91;0/1139.96,1/1139.96;0/1139.96,1/1139.96;0/0,1/0;0/3,1/0;0/0,1/1;0/11,1/8;0/3,1/2;0/5,1/5;0/7,1/9;0/21,1/25;0/12,1/17;0/111,1/111
1199.96;17;49;2;2;0/1080.31,1/1020.62;0/39.64,1/32.09;0/1199.96,1/1199.96;0/1199.96,1/1199.96;0/0,1/0;0/0,1/0;0/2,1/1;0/13,1/12;0/3,1/2;0/5,1/5;0/7,1/10;0/22,1/27;0/12,1/18;0/117,1/117
1259.96;20;51;2;2;0/1120.4,1/1070.67;0/39.69,1/32.22;0/1259.96,1/1259.96;0/1259.96,1/1259.96;0/1,1/1;0/0,1/0;0/1,1/1;0/9,1/14;0/3,1/2;0/5,1/5;0/9,1/11;0/24,1/27;0/14,1/19;0/123,1/123
1319.96;22;55;2;2;0/1170.44,1/1122.71;0/39.82,1/32.31;0/1319.96,1/1319.96;0/1319.96,1/1319.96;0/0,1/0;0/0,1/0;0/2,1/0;0/9,1/14;0/3,1/2;0/5,1/5;0/10,1/12;0/25,1/30;0/15,1/20;0/129,1/129
1379.96;25;57;2;2;0/1210.53,1/1166.71;0/39.96,1/32.4;0/1379.96,1/1379.96;0/1379.96,1/1379.96;0/0,1/0;0/0,1/0;0/1,1/2;0/11,1/14;0/3,1/2;0/5,1/5;0/12,1/13;0/26,1/31;0/17,1/22;0/134,1/135
1439.96;27;59;2;2;0/1260.58,1/1200.89;0/40.09,1/32.49;0/1439.96,1/1439.96;0/1439.96,1/1439.96;0/0,1/0;0/0,1/0;0/0,1/1;0/8,1/13;0/3,1/2;0/5,1/5;0/13,1/14;0/27,1/32;0/18,1/24;0/140,1/141
1499.96;28;64;2;2;0/1320.58,1/1250.93;0/40.27,1/32.58;0/1499.96,1/1499.96;0/1499.96,1/1499.96;0/0,1/1;0/0,1/0;0/2,1/1;0/13,1/12;0/3,1/2;0/5,1/5;0/13,1/15;0/29,1/35;0/18,1/25;0/146,1/147
1559.96;30;67;2;2;0/1370.62,1/1301.91;0/40.36,1/32.71;0/1559.96,1/1559.96;0/1559.96,1/1559.96;0/0,1/1;0/0,1/0;0/1,1/2;0/11,1/13;0/3,1/2;0/5,1/5;0/14,1/16;0/31,1/36;0/19,1/26;0/152,1/153
1619.96;33;67;2;2;0/1420.67,1/1341.07;0/40.49,1/32.8;0/1619.96,1/1619.96;0/1619.96,1/1619.96;0/0,1/2;0/0,1/0;0/0,1/3;0/16,1/11;0/3,1/2;0/5,1/5;0/15,1/18;0/31,1/36;0/20,1/28;0/158,1/159
1679.96;35;71;2;2;0/1480.67,1/1381.2;0/40.58,1/32.93;0/1679.96,1/1679.96;0/1679.96,1/1679.96;0/0,1/1;0/0,1/0;0/0,1/2;0/14,1/12;0/3,1/2;0/5,1/5;0/15,1/20;0/33,1/38;0/20,1/30;0/164,1/165
1739.96;37;73;2;2;0/1540.67,1/1430.13;0/40.67,1/33.02;0/1739.96,1/1739.96;0/1739.96,1/1739.96;0/0,1/1;0/0,1/0;0/0,1/1;0/13,1/10;0/3,1/2;0/5,1/5;0/15,1/22;0/34,1/39;0/20,1/32;0/170,1/171
1799.96;38;75;2;2;0/1600.67,1/1479.24;0/40.76,1/33.16;0/1799.96,1/1799.96;0/1799.96,1/1799.96;0/0,1/0;0/0,1/0;0/0,1/2;0/15,1/11;0/3,1/2;0/5,1/5;0/15,1/23;0/35,1/40;0/20,1/33;0/176,1/177
1859.96;39;79;2;2;0/1660.67,1/1511.38;0/40.8,1/33.33;0/1859.96,1/1859.96;0/1859.96,1/1859.96;0/0,1/0;0/0,1/0;0/0,1/1;0/13,1/11;0/3,1/2;0/5,1/5;0/15,1/24;0/37,1/42;0/20,1/35;0/182,1/183
1919.96;42;80;2;2;0/1719.51,1/1553.78;0/40.89,1/33.42;0/1919.96,1/1919.96;0/1919.96,1/1919.96;0/1,1/0;0/0,1/0;0/2,1/0;0/13,1/9;0/3,1/2;0/5,1/5;0/16,1/26;0/38,1/42;0/21,1/37;0/188,1/189
