Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;13.50;0.50;26;0;1;120.388888888889;0;120.388888888889;120.388888888889;26;48.1280591520167;300
InputStation1;23.50;0.50;24;0;2;100.312175326516;198.626464433201;90.3465728752539;110.277777777778;12;67.1669408479833;300
InputStation2;33.50;0.50;26;0;2;125.477038235857;49.8612075617304;120.483982680302;130.470093791413;13;48.7698339959399;300
InputStation3;43.50;0.50;18;0;1;70.4034271247463;0;70.4034271247463;70.4034271247463;18;121.507034639396;300
InputStation4;53.50;0.50;17;0;1;70.1977777777779;0;70.1977777777779;70.1977777777779;17;131.373051959095;300
InputStation5;63.50;0.50;22;0;2;80.3466197709603;201.805934273884;70.3015728752538;90.3916666666667;11;91.5063058868587;300
OutputStation0;81.50;11.50;9;0;4;12.5527777777778;24.9447222222224;10.0444444444445;20.0444444444445;2.25;218.869906208587;300
OutputStation1;81.50;17.50;13;9;2;35.1399531042936;1257.06080892715;10.0694444444444;60.2104617641428;6.5;173.894906208587;300
OutputStation2;81.50;23.50;5;0;3;13.4520683008414;34.6306885515576;10.0444444444445;20.2472222222223;1.66666666666667;250;300
OutputStation3;81.50;29.50;6;0;3;17.2775925925926;23.1697725303369;11.7194444444444;20.0604617641426;2;240;300
OutputStation4;81.50;35.50;12;3;3;37.2074074074074;1415.62234825103;11.0722222222222;80.3305555555557;4;180;300
OutputStation5;81.50;41.50;16;8;3;47.1836099122909;1427.34780766792;20.0888888888889;90.3410173196984;5.33333333333333;140;300
OutputStation6;0.50;14.50;16;11;3;36.8796296296297;2136.34981761393;10.1715728752538;90.2506493469685;5.33333333333333;142.081017319698;300
OutputStation7;0.50;20.50;4;0;1;10.0444444444445;0;10.0444444444445;10.0444444444445;4;260;300
OutputStation8;0.50;26.50;16;6;3;36.7761423749155;838.176810449864;20.0611111111111;70.206204902524;5.33333333333333;140;300
OutputStation9;0.50;32.50;12;6;3;36.8787037037037;2160.23240997943;10.0444444444444;90.5472222222223;4;185.850461764143;300
OutputStation10;0.50;38.50;12;3;4;28.0504870102263;242.624910702268;10.0444444444445;41.9457431383812;3;182.125461764142;300
OutputStation11;0.50;44.50;14;7;5;20.5061111111111;112.11826551866;10.0444444444445;31.9478715691906;2.8;165.806017319698;300
