bot_id;sample_count;expected_mean_sec;actual_mean_sec;gap_mean_sec;gap_var_sec2;gap_std_sec;abs_err_mean_sec;stop_go_mean;queue_stop_go_mean;conflict_wait_mean_sec
0;2;39.1642135623731;34.9670677444282;-4.19714581794491;0.566559357669504;0.752701373500477;4.19714581794491;0;0;0.288888888888838
2;1;60.25;92.1194444444446;31.8694444444446;0;0;31.8694444444446;0;0;29.033888888889
4;2;43.3112734478532;53.7350171331516;10.4237436852984;120.014895647301;10.9551310191755;10.9551310191755;0.5;0;9.09134199318237
5;1;61.8259740204526;80.002970002166;18.1769959817134;0;0;18.1769959817134;0;0;14.0904617641428
6;2;41.5625;55.2294913401509;13.6669913401509;142.279628087801;11.928102451262;13.6669913401509;0;0;5.26152597954738
8;1;71.1617604580795;76.0867604580797;4.92500000000013;0;0;4.92500000000013;0;0;0.895093791412933
9;2;35.3958333333333;39.3214826803018;3.92564934696851;6.06435046827355;2.46259019495196;3.92564934696851;0;0;1.10449134015088
10;2;22.1875;22.9955086598492;0.808008659849188;1.17431467573962;1.08365800681747;1.08365800681747;0;0;1.22222222222223
11;1;75.7892135623731;82.4022785873612;6.61306502498806;0;0;6.61306502498806;0;0;3.34444444444447
13;2;39.9791666666667;40.3569444444444;0.377777777777734;10.584788056034;3.25342712474615;3.25342712474615;0;0;0.718055555555477
14;2;42.0416666666667;67.9941197709601;25.9524531042934;293.612923115654;17.1351370906583;25.9524531042934;0.5;0;11.8209235282851
16;2;55.75;61.373286437627;5.62328643762699;0.00267429253332097;0.0517135623731431;5.62328643762699;0.5;0;5.92328643762696
17;2;25.7904401145199;30.5128246734842;4.72238455896437;17.9252347015398;4.23382034355968;4.72238455896437;0;0;5.31911977096032
21;2;55.0392135623731;62.759397548738;7.72018398636488;8.67410871353965;2.9451839863648;7.72018398636488;0.5;0;5.44893578459547
22;1;50.2083333333333;52.6815373035614;2.47320397022802;0;0;2.47320397022802;0;0;1.20620490252404
23;1;42.4534271247462;27.625;-14.8284271247462;0;0;14.8284271247462;0;0;1.0604617641427
24;3;28.706697930471;26.0782106757567;-2.62848725471422;24.2339433570604;4.922798325857;3.73219095841785;0;0;0.550925925925844
26;2;27.5833333333333;36.3605012128092;8.77716787947588;58.5457358533041;7.6515185325074;8.77716787947588;0;0;6.27717532651579
27;2;41.5625;48.2402859065063;6.67778590650629;0.235681016884378;0.485469892871204;6.67778590650629;0.5;0;3.18365800681752
28;2;45.6237734478532;49.9648121591594;4.34103871130621;0.183012129327093;0.427799169385698;4.34103871130621;0;0;1.65694444444457
29;2;58.9166666666667;65.6956007296618;6.77893406299516;0.155328916025766;0.394117896099335;6.77893406299516;1;0;3.81323954192038
30;2;52.2683802290398;54.2649531042936;1.99657287525388;0.0215788898252569;0.146897548738081;1.99657287525388;0;0;1.02009379141286
32;2;34.7254870102263;35.1094050412158;0.383918030989484;1.68679300684236;1.29876595537547;1.29876595537547;0;0;0.751388888888904
34;2;59.1666666666667;67.3205086598492;8.1538419931825;0.000223595328009196;0.0149531042933966;8.1538419931825;0;0;6.57875179823051
36;2;52.767153676893;59.8425138680216;7.07536019112863;26.5760392454089;5.15519536442693;7.07536019112863;0;0;3.92916666666669
37;1;75.1666666666667;77.7472222222223;2.58055555555565;0;0;2.58055555555565;0;0;1.83888888888899
39;2;37.75;41.6753246734842;3.92532467348415;18.6844116655808;4.32254689570638;4.32254689570638;1;0;2.15277777777785
40;2;38.0183802290398;47.1175018917247;9.09912166268498;0.726294440944386;0.852229101207173;9.09912166268498;2;0;6.71078643762704
41;1;67.8725468957064;70.2194444444445;2.34689754873808;0;0;2.34689754873808;0;0;1.02435065303162
43;1;60.9166666666667;81.9555555555557;21.038888888889;0;0;21.038888888889;1;0;10.593795097476
