idx;src_id;dest_id;path_nodes;path_len_m;expected_sec;actual_sec;abs_err_sec;rel_err_pct
0;629;44;16;15;18.7916666666667;17.7222222222222;1.06944444444445;5.69105691056912
1;564;60;18;17;21.625;21.5444444444444;0.0805555555555593;0.37251123956328
2;728;12;26;25;24.375;24.1222222222222;0.252777777777776;1.03703703703703
3;908;92;22;21;24.2916666666667;24.0611111111111;0.230555555555558;0.949113779302468
4;875;76;30;29;33.8700937914129;39.1367604580795;5.26666666666667;15.5496075656039
5;321;28;31;30;35.1617604580795;35.3861111111111;0.224350653031578;0.63805295897813
6;572;60;26;25;26.9583333333333;56.4034271247462;29.4450937914129;109.224459195349
7;422;44;25;24;26.2916666666667;81.7089826803018;55.4173160136351;210.77901494885
8;323;92;59;58;48.5;98.3416666666667;49.8416666666667;102.766323024055
9;475;76;30;29;28.2867604580795;134.870649346968;106.583888888889;376.797792192727
10;930;12;32;31;29;191.777503596461;162.777503596461;561.301736539521
11;622;28;21;20;18.9166666666667;190.451298693937;171.53463202727;906.791006311561
12;418;60;49;48;41.8333333333333;243.369819610096;201.536486276763;481.760524964373
13;506;12;44;43;39.75;274.513708498985;234.763708498985;590.600524525749
14;611;76;34;33;34.4166666666667;282.188333333333;247.771666666667;719.917675544794
15;676;92;33;32;31.1617604580795;288.267135623731;257.105375165651;825.066913377771
16;582;44;40;39;38.4166666666667;294.082777777778;255.666111111111;665.508315256688
17;519;28;27;26;25.0416666666667;374.778246734842;349.736580068175;1396.61862256842
18;573;60;27;26;27;299.894913401509;272.894913401509;1010.72190148707
19;807;92;28;27;28.4534271247462;309.186580068175;280.733152943429;986.640912226958
20;298;44;54;53;48.3700937914129;307.100375165651;258.730281374238;534.897208365907
21;393;76;24;23;25.1666666666667;276.420093791412;251.253427124745;998.357988575147
22;272;12;33;32;31.625;200.586760458079;168.961760458079;534.266436231081
23;470;76;33;32;33.2916666666667;260.674906208588;227.383239541921;683.003472966971
24;806;92;29;28;29.125;372.787323206557;343.662323206557;1179.95647452895
25;422;28;19;18;22.9166666666667;292.808434317668;269.891767651001;1177.70953156801
26;791;12;37;36;36.4117604580795;201.067770584857;164.656010126777;452.205573296418
27;373;60;29;28;24.25;420.224069278793;395.974069278793;1632.88275991255
28;901;44;14;13;15.5;311.590093791414;296.090093791414;1910.25866962202
29;705;76;23;22;24.3333333333333;300.703881695968;276.370548362634;1135.76937683274
30;361;92;29;28;26.375;339.00110391819;312.62610391819;1185.31224234385
31;575;28;35;34;30.9950937914129;305.604992807079;274.609899015666;885.978603141852
32;574;12;44;43;39.125;301.757308820714;262.632308820714;671.264687081698
33;463;76;20;19;21.6200937914129;345.937308820714;324.317215029301;1500.07311789792
34;692;44;21;20;23.625;402.882215029302;379.257215029302;1605.32154509757
35;782;60;38;37;35.5833333333333;473.661659473746;438.078326140413;1231.13346924706
36;363;28;47;46;43.0784271247462;429.431659473746;386.353232349;896.860118012667
37;815;92;34;33;34.4166666666667;448.803881695968;414.387215029301;1204.03064899555
38;803;76;30;29;32.375;317.224444444445;284.849444444445;879.843843843847
39;720;44;36;35;37.25;360.446666666668;323.196666666668;867.642058165551
