#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;3;6;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0;0/36,1/34,2/36,3/36,4/31,5/37;0/0,1/0,2/0;0/36,1/34,2/36,3/36,4/31,5/37;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0
59.86;1;0;3;6;0/59.86,1/40.2,2/34.98;0/33.6,1/48.23,2/28.77,3/29.85,4/46.77,5/35.64;0/59.86,1/59.86,2/59.86;0/59.86,1/59.86,2/59.86,3/59.86,4/59.86,5/59.86;0/13,1/18,2/11;0/0,1/0,2/0,3/0,4/0,5/0;0/25,1/28,2/19;0/33,1/32,2/34,3/32,4/29,5/34;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/0,1/0,2/1;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/2,2/3;0/3,1/2,2/4,3/4,4/2,5/3
119.96;6;3;3;6;0/84.5,1/49.85,2/44.49;0/34.13,1/48.76,2/29.17,3/30.8,4/47.7,5/36.66;0/119.96,1/119.96,2/119.96;0/119.96,1/119.96,2/119.96,3/119.96,4/119.96,5/119.96;0/11,1/16,2/10;0/0,1/0,2/0,3/5,4/0,5/0;0/21,1/22,2/16;0/34,1/33,2/31,3/34,4/30,5/30;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/1,1/2,2/3;0/0,1/0,2/1,3/1,4/0,5/1;0/4,1/8,2/8;0/9,1/8,2/10,3/10,4/8,5/9
179.97;13;4;3;6;0/94.28,1/60.97,2/59.63;0/34.6,1/49.91,2/29.53,3/31.56,4/48.57,5/37.19;0/179.97,1/179.97,2/179.97;0/179.97,1/179.97,2/179.97,3/179.97,4/179.97,5/179.97;0/9,1/10,2/9;0/0,1/0,2/0,3/0,4/0,5/0;0/16,1/18,2/12;0/28,1/29,2/31,3/31,4/24,5/31;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/3,1/4,2/6;0/0,1/0,2/1,3/1,4/1,5/1;0/9,1/12,2/13;0/15,1/14,2/16,3/16,4/14,5/15
239.96;21;6;3;6;0/103.9,1/73.05,2/81.14;0/34.98,1/50.59,2/29.96,3/32.2,4/49.28,5/37.63;0/239.96,1/239.96,2/239.96;0/239.96,1/239.96,2/239.96,3/239.96,4/239.96,5/239.96;0/9,1/7,2/7;0/0,1/0,2/0,3/0,4/0,5/0;0/13,1/13,2/10;0/24,1/26,2/28,3/26,4/29,5/31;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/5,1/7,2/9;0/1,1/1,2/1,3/1,4/1,5/1;0/14,1/17,2/16;0/21,1/20,2/22,3/21,4/20,5/21
299.94;30;9;3;6;0/123.62,1/83.22,2/111.35;0/35.38,1/51.29,2/30.69,3/33.3,4/49.85,5/38.76;0/299.94,1/299.94,2/299.94;0/299.94,1/299.94,2/299.94,3/299.94,4/299.94,5/299.94;0/7,1/4,2/4;0/0,1/0,2/0,3/0,4/0,5/0;0/10,1/8,2/7;0/23,1/23,2/24,3/29,4/23,5/31;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/9,1/9,2/12;0/2,1/1,2/1,3/2,4/2,5/1;0/18,1/22,2/19;0/27,1/26,2/28,3/27,4/26,5/27
359.94;41;11;3;6;0/151.26,1/107.26,2/139.3;0/35.71,1/51.83,2/31.14,3/34.24,4/50.82,5/39.33;0/359.94,1/359.94,2/359.94;0/359.94,1/359.94,2/359.94,3/359.94,4/359.94,5/359.94;0/3,1/1,2/0;0/0,1/0,2/3,3/0,4/2,5/0;0/7,1/4,2/3;0/20,1/20,2/29,3/33,4/24,5/32;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/12,1/13,2/16;0/2,1/1,2/2,3/2,4/2,5/2;0/21,1/26,2/23;0/33,1/32,2/34,3/33,4/32,5/33
419.82;50;12;3;6;0/188.53,1/139.36,2/166.87;0/36.28,1/52.58,2/31.73,3/34.96,4/52.56,5/39.88;0/419.82,1/419.82,2/419.82;0/419.82,1/419.82,2/419.82,3/419.82,4/419.82,5/419.82;0/2,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/4,1/1,2/1;0/20,1/18,2/31,3/39,4/24,5/32;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/15,1/16,2/19;0/2,1/2,2/2,3/2,4/2,5/2;0/24,1/29,2/26;0/39,1/38,2/40,3/39,4/38,5/39
479.91;55;14;3;6;0/214.64,1/183.07,2/211.61;0/37.4,1/53.95,2/32.91,3/35.52,4/54.42,5/40.45;0/479.91,1/479.91,2/479.91;0/479.91,1/479.91,2/479.91,3/479.91,4/479.91,5/479.91;0/3,1/0,2/0;0/0,1/3,2/0,3/0,4/0,5/0;0/3,1/0,2/0;0/25,1/26,2/39,3/35,4/26,5/34;0/7,1/0,2/0;0/6,1/6,2/7,3/6,4/6,5/7;0/18,1/17,2/20;0/2,1/2,2/2,3/3,4/2,5/3;0/27,1/30,2/27;0/45,1/44,2/45,3/45,4/44,5/45
539.79;55;17;3;6;0/271.95,1/242.95,2/271.49;0/38.16,1/54.69,2/33.35,3/37.09,4/55.42,5/41.43;0/539.79,1/539.79,2/539.79;0/539.79,1/539.79,2/539.79,3/539.79,4/539.79,5/539.79;0/1,1/0,2/1;0/0,1/1,2/0,3/0,4/0,5/0;0/3,1/0,2/1;0/38,1/36,2/36,3/36,4/30,5/30;0/6,1/0,2/6;0/5,1/5,2/6,3/5,4/6,5/6;0/18,1/17,2/20;0/3,1/2,2/3,3/3,4/3,5/3;0/27,1/30,2/27;0/51,1/49,2/51,3/51,4/50,5/51
600;58;17;3;6;0/312.44,1/303.16,2/321.94;0/38.76,1/55.65,2/34.14,3/38.12,4/56.32,5/41.97;0/600,1/600,2/600;0/600,1/600,2/600,3/600,4/600,5/600;0/1,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/1,1/0,2/0;0/36,1/33,2/37,3/30,4/31,5/31;0/6,1/0,2/6;0/5,1/5,2/6,3/5,4/6,5/6;0/20,1/17,2/21;0/3,1/2,2/3,3/3,4/3,5/3;0/29,1/30,2/28;0/57,1/55,2/57,3/57,4/55,5/57
659.93;58;20;3;6;0/372.37,1/363.09,2/381.86;0/40.35,1/56.51,2/35.01,3/39.02,4/57.23,5/43.2;0/659.93,1/659.93,2/659.93;0/659.93,1/659.93,2/659.93,3/659.93,4/659.93,5/659.93;0/1,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/2,1/0,2/1;0/34,1/27,2/31,3/24,4/28,5/28;0/6,1/0,2/6;0/5,1/5,2/6,3/5,4/6,5/6;0/20,1/17,2/21;0/3,1/3,2/3,3/3,4/4,5/4;0/29,1/30,2/28;0/63,1/61,2/63,3/63,4/61,5/63
719.91;60;23;3;6;0/426.95,1/423.07,2/431.91;0/40.78,1/57.85,2/35.32,3/39.72,4/58.58,5/43.51;0/719.91,1/719.91,2/719.91;0/719.91,1/719.91,2/719.91,3/719.91,4/719.91,5/719.91;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/1,1/0,2/0;0/30,1/32,2/29,3/21,4/33,5/25;0/6,1/0,2/6;0/5,1/5,2/6,3/5,4/6,5/6;0/21,1/17,2/22;0/4,1/3,2/4,3/4,4/4,5/4;0/30,1/30,2/29;0/69,1/67,2/69,3/69,4/67,5/69
779.87;61;24;3;6;0/472.55,1/483.03,2/491.87;0/41.18,1/58.21,2/35.67,3/40.16,4/59.21,5/44.46;0/779.87,1/779.87,2/779.87;0/779.87,1/779.87,2/779.87,3/779.87,4/779.87,5/779.87;0/0,1/0,2/0;0/0,1/0,2/0,3/6,4/0,5/0;0/0,1/0,2/0;0/36,1/30,2/27,3/29,4/27,5/37;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/22,1/17,2/22;0/4,1/3,2/4,3/4,4/5,5/4;0/31,1/30,2/29;0/75,1/73,2/75,3/75,4/73,5/75
839.67;61;27;3;6;0/532.35,1/542.83,2/551.67;0/41.76,1/59.63,2/36.9,3/41.06,4/59.94,5/46.01;0/839.67,1/839.67,2/839.67;0/839.67,1/839.67,2/839.67,3/839.67,4/839.67,5/839.67;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0;0/30,1/27,2/32,3/31,4/29,5/40;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/22,1/17,2/22;0/5,1/4,2/4,3/4,4/5,5/5;0/31,1/30,2/29;0/81,1/79,2/81,3/81,4/79,5/80
