group,metric,mean_original,mean_drawsfirst,delta_pct,t,sig,identical_seeds,n
M5_large_N4,items,8252,8252,-0.00,-0.01,n.s.,0/10,10
M5_large_N4,orders,3348,3371,+0.67,1.87,n.s.,0/10,10
M5_large_N4,m_per_line,20.58,20.74,+0.81,1.20,n.s.,0/10,10
M5_large_N4,EOR,3.617,3.613,-0.10,-0.22,n.s.,0/10,10
M5_large_N4,pile_on,7.546,7.506,-0.54,-0.49,n.s.,0/10,10
M5_large_N4,turnover_med,396.6,387.7,-2.23,-1.62,n.s.,0/10,10
M5_large_N4,solve_sec,1136,428.5,-62.28,-5.42,***,0/10,10
