group,metric,mean_original,mean_drawsfirst,delta_pct,t,sig,identical_seeds,n
small_6bot_orig_vs_df2,items,1420,1422,+0.13,0.94,n.s.,0/10,10
small_6bot_orig_vs_df2,orders,584.4,589,+0.79,1.85,n.s.,0/10,10
small_6bot_orig_vs_df2,m_per_line,9.458,9.34,-1.24,-0.76,n.s.,0/10,10
small_6bot_orig_vs_df2,EOR,1.208,1.182,-2.20,-1.43,n.s.,0/10,10
small_6bot_orig_vs_df2,pile_on,5.176,5.582,+7.84,5.92,***,0/10,10
small_6bot_orig_vs_df2,turnover_med,905.2,943.3,+4.21,1.67,n.s.,0/10,10
small_6bot_orig_vs_df2,solve_sec,21.93,2.303,-89.50,-15.42,***,0/10,10
small_10bot_orig_vs_df2,items,1430,1429,-0.01,-0.22,n.s.,0/10,10
small_10bot_orig_vs_df2,orders,588.8,591,+0.37,0.80,n.s.,0/10,10
small_10bot_orig_vs_df2,m_per_line,10.28,10.01,-2.60,-3.41,**,0/10,10
small_10bot_orig_vs_df2,EOR,1.317,1.263,-4.14,-6.53,***,0/10,10
small_10bot_orig_vs_df2,pile_on,5.066,5.424,+7.06,6.92,***,0/10,10
small_10bot_orig_vs_df2,turnover_med,968.3,939.6,-2.96,-1.56,n.s.,0/10,10
small_10bot_orig_vs_df2,solve_sec,28.7,2.349,-91.81,-18.40,***,0/10,10
small_6bot_df_vs_df2,items,1420,1422,+0.08,0.51,n.s.,0/10,10
small_6bot_df_vs_df2,orders,585,589,+0.68,1.48,n.s.,0/10,10
small_6bot_df_vs_df2,m_per_line,9.438,9.34,-1.04,-0.70,n.s.,0/10,10
small_6bot_df_vs_df2,EOR,1.206,1.182,-2.07,-1.43,n.s.,0/10,10
small_6bot_df_vs_df2,pile_on,5.192,5.582,+7.50,6.30,***,0/10,10
small_6bot_df_vs_df2,turnover_med,907.4,943.3,+3.96,1.57,n.s.,0/10,10
small_6bot_df_vs_df2,solve_sec,5.341,2.303,-56.89,-12.51,***,0/10,10
small_10bot_df_vs_df2,items,1430,1429,-0.02,-0.34,n.s.,0/10,10
small_10bot_df_vs_df2,orders,587.5,591,+0.60,1.25,n.s.,0/10,10
small_10bot_df_vs_df2,m_per_line,10.23,10.01,-2.17,-2.41,*,0/10,10
small_10bot_df_vs_df2,EOR,1.315,1.263,-3.98,-6.42,***,0/10,10
small_10bot_df_vs_df2,pile_on,5.105,5.424,+6.25,5.83,***,0/10,10
small_10bot_df_vs_df2,turnover_med,946.2,939.6,-0.70,-0.24,n.s.,0/10,10
small_10bot_df_vs_df2,solve_sec,5.301,2.349,-55.68,-10.33,***,0/10,10
