## Small: M4G split, dynamic vs true-fixed lambda (6 bots)
policy,seeds,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR,TurnoverMedian,StationIdle,lambda_median_on_dispatch
dynamic,5,1406,937,599.6,5.31,113,0.1885,9.495,1.187,808.5,2.41,4.21
fixed lambda=18,5,1384,915.6,594.4,4.552,130.6,0.2198,11.08,1.386,670.7,3.962,18.00
fixed lambda=26,5,1391,923.4,599.4,4.573,131.2,0.2189,11.05,1.382,680.1,3.465,26.00
fixed lambda=36,5,1394,922.2,597,4.537,131.6,0.2205,11.25,1.402,673,3.251,36.00
fixed lambda=50,5,1396,928.2,599.4,4.606,130.2,0.2173,11.02,1.382,636,3.142,50.00

paired vs dynamic (delta = fixed - dynamic, df=4, crit 2.776)
policy,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR,TurnoverMedian,StationIdle
fixed lambda=18,-1.59% *,-2.28% *,-0.87% n.s.,-14.27% *,+15.58% *,+16.59% *,+16.66% *,+16.82% *,-17.04% *,+64.39% *
fixed lambda=26,-1.08% *,-1.45% *,-0.03% n.s.,-13.88% *,+16.11% *,+16.11% *,+16.38% *,+16.48% *,-15.88% *,+43.76% *
fixed lambda=36,-0.87% *,-1.58% n.s.,-0.43% n.s.,-14.56% *,+16.46% *,+16.98% *,+18.50% *,+18.14% *,-16.76% *,+34.88% *
fixed lambda=50,-0.75% n.s.,-0.94% n.s.,-0.03% n.s.,-13.25% *,+15.22% *,+15.27% *,+16.03% *,+16.42% *,-21.33% *,+30.38% n.s.

## Large: M5 split, dynamic vs true-fixed lambda (45 bots)
policy,seeds,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR,TurnoverMedian,StationIdle,lambda_median_on_dispatch
dynamic,3,8227,5324,3351,7.529,445.3,0.1329,20.74,3.612,394.5,4.851,7.72
fixed lambda=16,3,8201,5320,3385,5.382,629,0.1858,23.98,4.172,362.6,5.141,16.00
fixed lambda=22,3,8182,5317,3387,4.608,735.3,0.2171,26.34,4.588,371.3,5.362,22.00
fixed lambda=30,3,8110,5259,3367,3.666,918.7,0.2728,30.28,5.261,339.5,6.195,30.00

paired vs dynamic (delta = fixed - dynamic, df=2, crit 4.303)
policy,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR,TurnoverMedian,StationIdle
fixed lambda=16,-0.32% n.s.,-0.06% n.s.,+1.02% n.s.,-28.51% *,+41.24% *,+39.84% *,+15.67% *,+15.50% *,-8.08% *,+5.97% n.s.
fixed lambda=22,-0.56% n.s.,-0.12% n.s.,+1.08% n.s.,-38.80% *,+65.12% *,+63.35% *,+27.05% *,+27.03% *,-5.89% n.s.,+10.52% n.s.
fixed lambda=30,-1.42% n.s.,-1.22% n.s.,+0.50% n.s.,-51.30% *,+106.29% *,+105.29% *,+46.00% *,+45.66% *,-13.94% *,+27.70% n.s.

