group,metric,mean_old,mean_new,delta_pct,t,sig,identical_seeds
NS_6b,items,1142,1145,+0.3,0.15,n.s.,0/5
NS_6b,orders,525.4,523.6,-0.3,-0.15,n.s.,0/5
NS_6b,m_per_line,14.79,15.1,+2.0,1.55,n.s.,0/5
NS_6b,EOR,1.738,1.773,+2.0,1.31,n.s.,0/5
NS_6b,pile_on,3.039,3.032,-0.2,-0.13,n.s.,0/5
NS_6b,extract_m,3908,3933,+0.6,0.69,n.s.,0/5
NS_6b,turnover_med,449.4,432.6,-3.8,-0.72,n.s.,0/5
NS_6b,lateness,1211,1255,+3.7,0.30,n.s.,0/5
NS_10b,items,1412,1411,-0.1,-0.15,n.s.,0/5
NS_10b,orders,636.6,635,-0.3,-1.32,n.s.,0/5
NS_10b,m_per_line,14.76,15.08,+2.2,1.26,n.s.,0/5
NS_10b,EOR,1.772,1.801,+1.7,1.02,n.s.,0/5
NS_10b,pile_on,3.283,3.261,-0.7,-0.21,n.s.,0/5
NS_10b,extract_m,4579,4716,+3.0,0.96,n.s.,0/5
NS_10b,turnover_med,445.9,441.5,-1.0,-0.43,n.s.,0/5
NS_10b,lateness,926.2,1123,+21.3,0.66,n.s.,0/5
M4G_6b,items,1406,1406,-0.0,-0.59,n.s.,3/5
M4G_6b,orders,599.6,598.4,-0.2,-1.24,n.s.,3/5
M4G_6b,m_per_line,9.495,9.519,+0.3,1.61,n.s.,3/5
M4G_6b,EOR,1.187,1.191,+0.4,1.63,n.s.,3/5
M4G_6b,pile_on,5.31,5.273,-0.7,-1.63,n.s.,3/5
M4G_6b,extract_m,2491,2474,-0.7,-1.56,n.s.,3/5
M4G_6b,turnover_med,808.5,813.9,+0.7,1.12,n.s.,3/5
M4G_6b,lateness,509.5,537.1,+5.4,1.26,n.s.,3/5
