#TimeStamp;BotsQueueing;TaskBotCounts
4139.97;2;None/0,ParkPod/20,RepositionPod/0,Insert/11,Extract/14,Rest/0
4199.95;3;None/0,ParkPod/8,RepositionPod/0,Insert/13,Extract/24,Rest/0
4259.96;4;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
4319.98;3;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
4379.99;2;None/0,ParkPod/12,RepositionPod/0,Insert/10,Extract/23,Rest/0
4439.89;6;None/0,ParkPod/8,RepositionPod/0,Insert/13,Extract/24,Rest/0
4499.97;2;None/0,ParkPod/16,RepositionPod/0,Insert/10,Extract/19,Rest/0
4559.99;2;None/0,ParkPod/12,RepositionPod/0,Insert/12,Extract/21,Rest/0
4619.91;2;None/0,ParkPod/11,RepositionPod/0,Insert/9,Extract/25,Rest/0
4679.95;3;None/0,ParkPod/12,RepositionPod/0,Insert/10,Extract/23,Rest/0
4739.98;2;None/0,ParkPod/13,RepositionPod/0,Insert/11,Extract/21,Rest/0
4799.99;3;None/0,ParkPod/13,RepositionPod/0,Insert/11,Extract/21,Rest/0
4859.73;3;None/0,ParkPod/9,RepositionPod/0,Insert/12,Extract/24,Rest/0
4919.99;1;None/0,ParkPod/10,RepositionPod/0,Insert/13,Extract/22,Rest/0
4979.97;3;None/0,ParkPod/13,RepositionPod/0,Insert/9,Extract/23,Rest/0
5039.98;3;None/0,ParkPod/13,RepositionPod/0,Insert/10,Extract/22,Rest/0
5099.94;1;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
5159.98;2;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
5219.74;1;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
5279.99;3;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
5339.98;4;None/0,ParkPod/14,RepositionPod/0,Insert/9,Extract/22,Rest/0
5399.92;4;None/0,ParkPod/12,RepositionPod/0,Insert/11,Extract/22,Rest/0
5460;5;None/0,ParkPod/8,RepositionPod/0,Insert/14,Extract/23,Rest/0
5519.87;2;None/0,ParkPod/13,RepositionPod/0,Insert/11,Extract/21,Rest/0
5579.96;2;None/0,ParkPod/10,RepositionPod/0,Insert/11,Extract/24,Rest/0
5640;5;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
5699.97;3;None/0,ParkPod/17,RepositionPod/0,Insert/8,Extract/20,Rest/0
5759.97;1;None/0,ParkPod/15,RepositionPod/0,Insert/10,Extract/20,Rest/0
5819.95;4;None/0,ParkPod/12,RepositionPod/0,Insert/11,Extract/22,Rest/0
5879.98;2;None/0,ParkPod/13,RepositionPod/0,Insert/11,Extract/21,Rest/0
5939.98;3;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
5999.96;2;None/0,ParkPod/13,RepositionPod/0,Insert/9,Extract/23,Rest/0
6060;2;None/0,ParkPod/16,RepositionPod/0,Insert/12,Extract/17,Rest/0
6120;6;None/0,ParkPod/8,RepositionPod/0,Insert/9,Extract/28,Rest/0
6179.99;4;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
6240;4;None/0,ParkPod/13,RepositionPod/0,Insert/12,Extract/20,Rest/0
6299.96;2;None/0,ParkPod/12,RepositionPod/0,Insert/10,Extract/23,Rest/0
6359.98;2;None/0,ParkPod/14,RepositionPod/0,Insert/10,Extract/21,Rest/0
6419.9;4;None/0,ParkPod/17,RepositionPod/0,Insert/10,Extract/18,Rest/0
6479.81;3;None/0,ParkPod/12,RepositionPod/0,Insert/10,Extract/22,Rest/1
6539.86;1;None/0,ParkPod/9,RepositionPod/0,Insert/10,Extract/25,Rest/1
6599.99;3;None/0,ParkPod/8,RepositionPod/0,Insert/10,Extract/24,Rest/3
6659.88;3;None/0,ParkPod/16,RepositionPod/0,Insert/6,Extract/22,Rest/1
6719.98;2;None/0,ParkPod/13,RepositionPod/0,Insert/5,Extract/22,Rest/5
6779.96;3;None/0,ParkPod/16,RepositionPod/0,Insert/1,Extract/23,Rest/5
6839.86;1;None/0,ParkPod/10,RepositionPod/0,Insert/0,Extract/32,Rest/3
6899.9;4;None/0,ParkPod/12,RepositionPod/0,Insert/0,Extract/33,Rest/0
6959.93;0;None/0,ParkPod/14,RepositionPod/0,Insert/0,Extract/31,Rest/0
7019.94;4;None/0,ParkPod/8,RepositionPod/0,Insert/0,Extract/37,Rest/0
7080;6;None/0,ParkPod/13,RepositionPod/0,Insert/0,Extract/32,Rest/0
7139.96;4;None/0,ParkPod/10,RepositionPod/0,Insert/0,Extract/35,Rest/0
7199.97;4;None/0,ParkPod/17,RepositionPod/0,Insert/0,Extract/28,Rest/0
7259.96;4;None/0,ParkPod/9,RepositionPod/0,Insert/0,Extract/36,Rest/0
7319.93;8;None/0,ParkPod/13,RepositionPod/0,Insert/0,Extract/32,Rest/0
7379.99;4;None/0,ParkPod/16,RepositionPod/0,Insert/0,Extract/29,Rest/0
7439.97;4;None/0,ParkPod/15,RepositionPod/0,Insert/0,Extract/30,Rest/0
7499.98;5;None/0,ParkPod/14,RepositionPod/0,Insert/0,Extract/31,Rest/0
7559.97;4;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/37,Rest/1
7620;5;None/0,ParkPod/14,RepositionPod/0,Insert/0,Extract/31,Rest/0
